Время[c], Напряжение[B]
0.0000,1.9830
0.0507,1.9931
0.1013,1.9880
0.1519,1.9880
0.2025,1.9880
0.2531,1.9880
0.3037,1.9880
0.3543,1.9931
0.4049,1.9880
0.4555,1.9880
0.5062,1.9880
0.5568,1.9880
0.6086,1.9931
0.6593,1.9880
0.7100,1.9931
0.7607,1.9880
0.8114,1.9880
0.8621,1.9880
0.9128,1.9830
0.9635,1.9880
1.0142,1.9830
1.0649,1.9880
1.1156,1.9830
1.1663,1.9830
1.2169,1.9830
1.2676,1.9830
1.3183,1.9830
1.3690,1.9830
1.4198,1.9880
1.4704,1.9830
1.5211,1.9880
1.5718,1.9830
1.6225,1.9880
1.6732,1.9830
1.7239,1.9830
1.7746,1.9830
1.8252,1.9779
1.8759,1.9779
1.9266,1.9880
1.9773,1.9779
2.0280,1.9880
2.0787,1.9880
2.1294,1.9880
2.1801,1.9830
2.2307,1.9830
2.2814,1.9779
2.3321,1.9880
2.3828,1.9880
2.4335,1.9880
2.4842,1.9880
2.5349,1.9830
2.5857,1.9830
2.6364,1.9830
2.6871,1.9880
2.7378,1.9880
2.7885,1.9880
2.8392,1.9830
2.8899,1.9830
2.9406,1.9880
2.9913,1.9880
3.0420,1.9880
3.0927,1.9830
3.1434,1.9830
3.1942,1.9880
3.2448,1.9830
3.2955,1.9931
3.3462,1.9880
3.3969,1.9830
3.4476,1.9830
3.5010,1.9880
3.5518,1.9880
3.6025,1.9830
3.6532,1.9880
3.7040,1.9880
3.7547,1.9779
3.8054,1.9830
3.8560,1.9830
3.9066,1.9880
3.9572,1.9830
4.0079,1.9880
4.0585,1.9830
4.1091,1.9830
4.1597,1.9830
4.2103,1.9830
4.2609,1.9830
4.3115,1.9880
4.3621,1.9880
4.4128,1.9931
4.4634,1.9830
4.5141,1.9830
4.5648,1.9830
4.6155,1.9830
4.6662,1.9830
4.7168,1.9830
4.7675,1.9830
4.8183,1.9830
4.8689,1.9880
4.9196,1.9779
4.9703,1.9779
5.0211,1.9830
5.0717,1.9779
5.1225,1.9880
5.1731,1.9779
5.2238,1.9779
5.2745,1.9779
5.3252,1.9830
5.3759,1.9779
5.4266,1.9779
5.4772,1.9779
5.5279,1.9779
5.5786,1.9779
5.6294,1.9729
5.6800,1.9779
5.7307,1.9830
5.7814,1.9830
5.8321,1.9830
5.8827,1.9830
5.9334,1.9830
5.9841,1.9830
6.0348,1.9779
6.0855,1.9779
6.1362,1.9830
6.1870,1.9830
6.2377,1.9779
6.2884,1.9880
6.3391,1.9779
6.3897,1.9830
6.4405,1.9779
6.4911,1.9830
6.5418,1.9830
6.5925,1.9830
6.6432,1.9779
6.6939,1.9830
6.7446,1.9779
6.7953,1.9830
6.8461,1.9880
6.8967,1.9830
6.9474,1.9830
6.9981,1.9779
7.0488,1.9779
7.0995,1.9779
7.1501,1.9779
7.2008,1.9779
7.2515,1.9779
7.3022,1.9830
7.3529,1.9779
7.4036,1.9830
7.4544,1.9779
7.5050,1.9779
7.5557,1.9830
7.6064,1.9779
7.6571,1.9779
7.7077,1.9830
7.7584,1.9779
7.8091,1.9779
7.8598,1.9779
7.9104,1.9779
7.9611,1.9830
8.0118,1.9779
8.0626,1.9779
8.1132,1.9830
8.1639,1.9779
8.2146,1.9779
8.2653,1.9779
8.3160,1.9779
8.3667,1.9779
8.4173,1.9779
8.4680,1.9729
8.5187,1.9779
8.5694,1.9779
8.6201,1.9779
8.6707,1.9830
8.7214,1.9830
8.7721,1.9779
8.8228,1.9880
8.8735,1.9779
8.9242,1.9830
8.9749,1.9779
9.0256,1.9779
9.0763,1.9830
9.1270,1.9779
9.1777,1.9729
9.2284,1.9830
9.2791,1.9830
9.3298,1.9830
9.3805,1.9779
9.4311,1.9779
9.4818,1.9779
9.5325,1.9830
9.5832,1.9779
9.6339,1.9779
9.6845,1.9729
9.7352,1.9779
9.7861,1.9880
9.8368,1.9830
9.8876,1.9830
9.9383,1.9830
9.9890,1.9830
