Время[c], Напряжение[B]
0.0000,0.8347
0.0507,0.8397
0.1013,0.8347
0.1519,0.8397
0.2025,0.8397
0.2531,0.8347
0.3037,0.8397
0.3550,0.8397
0.4057,0.8397
0.4564,0.8397
0.5070,0.8397
0.5576,0.8397
0.6082,0.8397
0.6589,0.8397
0.7096,0.8397
0.7603,0.8397
0.8110,0.8397
0.8617,0.8397
0.9124,0.8347
0.9630,0.8448
1.0137,0.8397
1.0644,0.8397
1.1150,0.8397
1.1657,0.8397
1.2164,0.8448
1.2671,0.8397
1.3178,0.8397
1.3685,0.8347
1.4192,0.8347
1.4698,0.8448
1.5205,0.8397
1.5712,0.8448
1.6219,0.8448
1.6726,0.8397
1.7233,0.8397
1.7739,0.8397
1.8246,0.8397
1.8752,0.8448
1.9259,0.8397
1.9765,0.8448
2.0271,0.8397
2.0778,0.8347
2.1284,0.8397
2.1790,0.8397
2.2296,0.8397
2.2802,0.8347
2.3308,0.8397
2.3815,0.8397
2.4322,0.8397
2.4829,0.8397
2.5335,0.8397
2.5843,0.8397
2.6350,0.8347
2.6857,0.8397
2.7364,0.8347
2.7872,0.8397
2.8379,0.8397
2.8886,0.8448
2.9393,0.8397
2.9900,0.8397
3.0407,0.8397
3.0914,0.8397
3.1421,0.8397
3.1929,0.8397
3.2436,0.8397
3.2943,0.8397
3.3450,0.8397
3.3959,0.8397
3.4466,0.8397
3.4973,0.8397
3.5479,0.8397
3.5986,0.8397
3.6494,0.8397
3.7001,0.8347
3.7508,0.8397
3.8015,0.8397
3.8522,0.8397
3.9030,0.8347
3.9537,0.8397
4.0044,0.8397
4.0551,0.8347
4.1059,0.8397
4.1566,0.8347
4.2072,0.8347
4.2579,0.8397
4.3085,0.8347
4.3592,0.8397
4.4098,0.8397
4.4605,0.8397
4.5111,0.8397
4.5617,0.8397
4.6123,0.8397
4.6629,0.8397
4.7135,0.8347
4.7642,0.8347
4.8148,0.8397
4.8656,0.8397
4.9163,0.8397
4.9669,0.8397
5.0177,0.8397
5.0683,0.8397
5.1191,0.8347
5.1697,0.8397
5.2205,0.8397
5.2711,0.8397
5.3218,0.8347
5.3726,0.8397
5.4233,0.8347
5.4740,0.8397
5.5247,0.8397
5.5754,0.8347
5.6261,0.8397
5.6767,0.8347
5.7275,0.8397
5.7781,0.8397
5.8289,0.8347
5.8796,0.8397
5.9305,0.8397
5.9812,0.8347
6.0319,0.8397
6.0826,0.8397
6.1333,0.8397
6.1840,0.8347
6.2347,0.8397
6.2854,0.8397
6.3361,0.8397
6.3869,0.8347
6.4376,0.8347
6.4883,0.8397
6.5390,0.8397
6.5897,0.8397
6.6404,0.8397
6.6911,0.8397
6.7419,0.8347
6.7926,0.8397
6.8433,0.8397
6.8941,0.8448
6.9449,0.8397
6.9955,0.8397
7.0462,0.8397
7.0969,0.8397
7.1476,0.8397
7.1982,0.8347
7.2489,0.8397
7.2997,0.8397
7.3504,0.8397
7.4011,0.8397
7.4517,0.8397
7.5024,0.8397
7.5531,0.8397
7.6037,0.8397
7.6543,0.8397
7.7050,0.8397
7.7557,0.8397
7.8063,0.8448
7.8570,0.8397
7.9078,0.8397
7.9584,0.8397
8.0091,0.8397
8.0597,0.8397
8.1104,0.8397
8.1610,0.8397
8.2117,0.8397
8.2623,0.8347
8.3129,0.8347
8.3636,0.8347
8.4143,0.8397
8.4650,0.8397
8.5157,0.8397
8.5663,0.8397
8.6170,0.8347
8.6676,0.8397
8.7183,0.8448
8.7690,0.8397
8.8197,0.8397
8.8703,0.8397
8.9210,0.8397
8.9716,0.8448
9.0223,0.8397
9.0730,0.8397
9.1236,0.8397
9.1743,0.8397
9.2249,0.8397
9.2755,0.8397
9.3262,0.8448
9.3769,0.8397
9.4276,0.8397
9.4782,0.8347
9.5289,0.8397
9.5796,0.8397
9.6302,0.8397
9.6809,0.8397
9.7316,0.8397
9.7822,0.8397
9.8329,0.8397
9.8837,0.8347
9.9343,0.8397
9.9850,0.8397
